COBId,EntityCode,SourceSystemCode,BookCode,CurrencyCode,ScenarioDate,TradeCode,AllVaR,AllVaRSkew,BasisVaR,BondAssetSpreadVaR,CrossEffects,EquityPriceVaR,EquityVegaVaR,FXRateVaR,FXVolatilityVaR,IRCapVolVaR,IRCapVolVaRSkew,IRSkewVolVaR,IRSwaptionVolVaR,IRSwaptionVolVaRSkew,InflationRateCurveVaR,InflationVolVaR,InterestRateCurveVaR,InterestRateVegaVaR,MTGSprdVaR,OASVaR,ParCreditSpreadVaR,Category,Detail
20260326,MUSEU,QP,Book-EXS,USD,20080102,,,,,,,,,-303.3205596,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080103,,,,,,,,,324.5702247,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080104,,,,,,,,,-2254.220589,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080107,,,,,,,,,2577.970944,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080108,,,,,,,,,25.15678424,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080109,,,,,,,,,1428.691246,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080110,,,,,,,,,-1848.457206,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080111,,,,,,,,,-1795.002385,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080114,,,,,,,,,-2442.119263,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080115,,,,,,,,,2133.378842,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
20260326,MUSEU,QP,Book-EXS,USD,20080116,,,,,,,,,8274.478392,,,,,,,,,,,,,,IT-Other,(Nicolas Malatier);Adjust DCN; Book-EXS; FX Rate VaR; [MUSEU French books not set up in Murex]
