TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,DATA_TYPE_ALIAS,COMMENT
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,FRTBSA_DRC_KEY,1,,YES,TEXT,32,128,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,COBID,2,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,EVALUATION_DATE,3,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SIMULATION_ID,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,ORIGINAL_TRADE_ID,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,RAPTOR_TRADE_CODE,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,RAPTOR_TRADE_LOGIC,7,,YES,TEXT,2,8,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BOOK_CODE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,ENTITY_CODE,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,STRUCTURE_NUMBER,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SIMULATION_NAME,11,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,MUFG_ORGANIZATION_CODE,12,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,MUFG_PRODUCT_CODE,13,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BUSINESS_PRODUCT_CODE1,14,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BUSINESS_PRODUCT_CODE2,15,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BUSINESS_PRODUCT_CODE3,16,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BUSINESS_PRODUCT_CODE4,17,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,TRADING_DESK,18,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BT_TYPE,19,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,MEASURE_TYPE_CODE,20,,YES,TEXT,30,120,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CURRENCY_CODE,21,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CURRENCY_PAIR_CODE,22,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CCY1,23,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CCY1_OFFSHORE_QUALIFIER,24,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CCY2,25,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CCY2_OFFSHORE_QUALIFIER,26,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CCY_AMT,27,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CCY_AMT_OFFSHORE_QUALIFIER,28,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,RISK_CLASS,29,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BUCKET,30,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SABRE_SECURITY_CODE_TYPE,31,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SABRE_SECURITY_CODE,32,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SECURITY_CODE_TYPE,33,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SECURITY_CODE,34,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,ISSUE_NAME,35,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SECURITY_INFORMATION1,36,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SECURITY_INFORMATION2,37,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,SECURITY_INFORMATION3,38,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,ISSUER_CODE,39,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,ISSUER_RATING,40,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,MATURITY_DATE,41,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,NOTIONAL_AMOUNT,42,,YES,NUMBER,,,38,10,10,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,MARKET_PRICE,43,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,BUY_SELL,44,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,JTD_RISK_DIRECTION,45,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
DVLP_RAPTOR_NEWADJ,FACT,FRTBSA_DRC_MEASURES,CALL_PUT,46,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,
