TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,DATA_TYPE_ALIAS,COMMENT,EXPRESSION,KIND
DVLP_RAPTOR_NEWADJ_2,FACT,VAR_MEASURES_LOG,CREATED_TIMESTAMP,3,CURRENT_TIMESTAMP(),NO,TIMESTAMP_NTZ,,,,,,9,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VEGA_DETAILS,TRADE_CODE,2,,YES,TEXT,100,400,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,RM_SENSITIVITY_MEASURES_ADJUSTMENT_SUMMARY,BOOK_KEY,4,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_SENSITIVITY_MEASURES_BASE,SECURITY_INFORMATION3,50,,YES,TEXT,16777216,16777216,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VEGA_DETAILS,COBID,1,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_PNL_CAPITAL_OPTIMISE_ENTITY_EXTRACT_ROW_LEVEL_WITH_ADJ_10DAY,SCENARIO_DATE_ID,2,,NO,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,RM_SENSITIVITY_MEASURES,CURRENCY_CODE,8,,NO,TEXT,3,12,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_SRC_SENSITIVITY_MEASURES,IS_OFFICIAL_SOURCE,24,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,FRTBSA_RRAO_MEASURES_BASE,MEASURE_TYPE_CODE,20,,YES,TEXT,30,120,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_SRC_STRESS_MEASURES_SUMMARY,TRADE_CURRENCY,5,,NO,TEXT,3,12,,,,,,,,,,,,en-ci,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,STRESS_MEASURES_SUMMARY_IMPORT_CYCLIC,COMMON_INSTRUMENT_KEY,7,,NO,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_STRESS_SUMMARY_REPORT,COBID,1,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VAR_MEASURES_ADJUSTMENT_SUMMARY,VAR_SUBCOMPONENT_ID,2,,NO,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
DVLP_RAPTOR_NEWADJ_2,FACT,VW_PNL_CAPITAL_OPTIMISE_DEPT_EXTRACT_WITH_ADJ,CROSSEFFECTS,13,,YES,NUMBER,,,38,10,4,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,,,,COLUMN
